link,marca_model,marca,model,pret,an,km,combustibil,cutie,caroserie,capacitate_cc,putere_cp
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-s-ver-500-4matic-mhev-long-aut-ID7HEwhX.html,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,Mercedes-Benz,S 500 4MATIC MHEV Long Aut.,134 310 EUR,2025,13970,Benzina,Automata,Sedan,29993,435
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ID7HGXvA.html,Skoda Octavia,Skoda,Octavia,"18 130,16 EUR",2025,141226,Diesel,Automata,Combi,19683,115
https://www.autovit.ro/autoturisme/anunt/mg-mgb-ID7Hu1YE.html,MG MGB,MG,MGB,15 900 EUR,2016,41000,Benzina,Automata,Cabrio,17993,97
https://www.autovit.ro/autoturisme/anunt/dacia-duster-ver-1-5-blue-dci-4wd-sl-blueline-ID7HxnHS.html,Dacia Duster 1.5 Blue dCi 4WD SL BlueLine,Dacia,Duster 1.5 Blue dCi 4WD SL BlueLine,17 424 EUR,2025,83610,Diesel,Manuala,SUV,14613,115
https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520d-xdrive-at-ID7HDroD.html,BMW Seria 5 520d xDrive AT,BMW,Seria 5 520d xDrive AT,15 999 EUR,2015,234850,Diesel,Automata,Sedan,19953,190
https://www.autovit.ro/autoturisme/anunt/audi-a5-ver-sportback-2-0-tdi-s-tronic-quattro-ID7HI7G3.html,Audi A5 Sportback 2.0 TDI S tronic quattro,Audi,A5 Sportback 2.0 TDI S tronic quattro,21 000 EUR,2025,140500,Diesel,Automata,Compacta,19683,190
https://www.autovit.ro/autoturisme/anunt/audi-a3-ver-2-0-30-tdi-basic-ID7HGS4L.html,Audi A3 2.0 30 TDI Basic,Audi,A3 2.0 30 TDI Basic,"16 898,86 EUR",2025,127219,Diesel,Manuala,Combi,19683,116
https://www.autovit.ro/autoturisme/anunt/audi-a4-ver-2-0-tdi-s-tronic-ID7HI7sG.html,Audi A4 2.0 TDI S tronic,Audi,A4 2.0 TDI S tronic,19 950 EUR,2019,90000,Diesel,Automata,Sedan,19683,150
https://www.autovit.ro/autoturisme/anunt/kia-sportage-ID7HH32O.html,Kia Sportage,Kia,Sportage,17 490 EUR,2025,145694,Diesel,Automata,SUV,15983,136
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-coupe-ver-amg-53-mhev-4maticplus-ID7Hvdgq.html,Mercedes-Benz GLE Coupe AMG 53 MHEV 4MATIC+,Mercedes-Benz,GLE Coupe AMG 53 MHEV 4MATIC+,"109 899,46 EUR",2025,4950,Benzina,Automata,SUV,29993,435
https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-1-6-cdti-ecotec-start-stop-active-ID7Hxo4a.html,Opel Astra 1.6 CDTI ECOTEC Start/Stop Active,Opel,Astra 1.6 CDTI ECOTEC Start/Stop Active,7 999 EUR,2017,181000,Diesel,Manuala,Compacta,15983,110
https://www.autovit.ro/autoturisme/anunt/bmw-x1-ver-xdrive25e-at-phev-ID7HI1lS.html,BMW X1 xDrive25e AT PHEV,BMW,X1 xDrive25e AT PHEV,21 400 EUR,2025,137789,Hibrid Plug-In,Automata,SUV,14993,220
https://www.autovit.ro/autoturisme/anunt/suzuki-sx4-ID7HGXFp.html,Suzuki SX4,Suzuki,SX4,16 350 EUR,2017,88774,Benzina,Automata,SUV,13733,140
https://www.autovit.ro/autoturisme/anunt/ford-focus-ver-1-0-ecoboost-titanium-business-ID7HB2NL.html,Ford Focus 1.0 EcoBoost Titanium Business,Ford,Focus 1.0 EcoBoost Titanium Business,9 790 EUR,2021,110000,Benzina,Manuala,Combi,9993,125
https://www.autovit.ro/autoturisme/anunt/bmw-x4-ver-xdrive30d-at-xline-ID7Hxc0G.html,BMW X4 xDrive30d AT xLine,BMW,X4 xDrive30d AT xLine,15 999 EUR,2024,191000,Diesel,Automata,SUV,29933,258
https://www.autovit.ro/autoturisme/anunt/ds-automobiles-dsa-ds7-crossback-ID7HI10A.html,DS Automobiles DS 7 Crossback,DS,Automobiles DS 7 Crossback,22 450 EUR,2025,96070,Diesel,Automata,SUV,14993,130
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ver-220-d-t-modell-ID7HHWtA.html,Mercedes-Benz C 220 d T-Modell,Mercedes-Benz,C 220 d T-Modell,18 800 EUR,2025,157000,Diesel,Manuala,Combi,21433,170
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HHXgt.html,Volkswagen Golf,Volkswagen,Golf,7 290 EUR,2014,199000,Benzina,Manuala,Masina de oras,11973,105
https://www.autovit.ro/autoturisme/anunt/citroen-c5-aircross-ver-hybrid-180-e-eat8-feel-pack-ID7HEhy4.html,Citroën C5 Aircross Hybrid 180 e-EAT8 FEEL PACK,Citroën,C5 Aircross Hybrid 180 e-EAT8 FEEL PACK,16 999 EUR,2025,118000,Hibrid Plug-In,Automata,SUV,15983,181
https://www.autovit.ro/autoturisme/anunt/bmw-seria-4-ver-420d-coupe-modern-line-ID7HI2TA.html,BMW Seria 4 420d Coupe Modern Line,BMW,Seria 4 420d Coupe Modern Line,11 999 EUR,2025,240022,Diesel,Manuala,Coupe,19953,184
https://www.autovit.ro/autoturisme/anunt/honda-cr-v-ver-e-hev-2-0-i-mmd-hybrid-awd-advance-ID7HI1hJ.html,Honda CR-V e:HEV 2.0 i-MMD Hybrid AWD Advance,Honda,CR-V e:HEV 2.0 i-MMD Hybrid AWD Advance,42 350 EUR,2028,20072,Hibrid,Automata,SUV,19933,148
https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-5-dci-start-stop-tekna-ID7HHEQs.html,Nissan Qashqai 1.5 DCI Start/Stop Tekna,Nissan,Qashqai 1.5 DCI Start/Stop Tekna,6 999 EUR,2011,250000,Diesel,Manuala,SUV,14613,110
https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive20d-aut-ID7HI75v.html,BMW X3 xDrive20d Aut.,BMW,X3 xDrive20d Aut.,9 995 EUR,2013,256104,Diesel,Automata,SUV,19953,184
https://www.autovit.ro/autoturisme/anunt/bmw-x6-ver-xdrive40i-m-sport-ID7HGHl6.html,BMW X6 xDrive40i M Sport,BMW,X6 xDrive40i M Sport,62 000 EUR,2025,29800,Benzina,Automata,SUV,29983,381
https://www.autovit.ro/autoturisme/anunt/audi-q7-ver-3-0-tdi-quattro-tiptronic-ID7HysPX.html,Audi Q7 3.0 TDI Quattro Tiptronic,Audi,Q7 3.0 TDI Quattro Tiptronic,33 490 EUR,2017,86397,Diesel,Automata,SUV,29673,272
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ver-variant-2-0-tdi-116cp-dsg-life-ID7HGWlH.html,Volkswagen Golf Variant 2.0 TDI 116CP DSG Life,Volkswagen,Golf Variant 2.0 TDI 116CP DSG Life,17 900 EUR,2025,102100,Diesel,Automata,Combi,19683,116
https://www.autovit.ro/autoturisme/anunt/volkswagen-t-cross-ver-1-0-tsi-opf-dsg-style-ID7HqjaL.html,Volkswagen T-Cross 1.0 TSI OPF DSG Style,Volkswagen,T-Cross 1.0 TSI OPF DSG Style,14 200 EUR,2020,179000,Benzina,Automata,SUV,9993,116
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-x-ver-250-d-4matic-power-ID7HE5IU.html,Mercedes-Benz X 250 d 4MATIC Power,Mercedes-Benz,X 250 d 4MATIC Power,28 600 EUR,2025,95700,Diesel,Automata,SUV,22983,190
https://www.autovit.ro/autoturisme/anunt/toyota-prius-ver-hybrid-comfort-ID7HI7pt.html,Toyota Prius Hybrid Comfort,Toyota,Prius Hybrid Comfort,19 800 EUR,2020,77000,Hibrid,Automata,Combi,17983,122
